Year,Scenario,IndieSubs,TeamSeats,EnterpriseDeals,ARPU_Indie,ARPU_Team,ACV_Ent,Revenue_USD
1,Conservative,200,1000,2,144,180,10000,228800
2,Conservative,270,1300,2,144,180,10000,292880
3,Conservative,364,1690,2,144,180,10000,376616
4,Conservative,455,2061,2,144,180,10000,456500
5,Conservative,568,2514,2,144,180,10000,554312
6,Conservative,653,2865,2,144,180,10000,629732
7,Conservative,750,3266,2,144,180,10000,715880
8,Conservative,862,3723,2,144,180,10000,814268
9,Conservative,930,3983,2,144,180,10000,870860
10,Conservative,1004,4261,2,144,180,10000,931556
1,Base,1000,5000,6,180,264,25000,1650000
2,Base,1350,6500,7,180,264,25000,2134000
3,Base,1822,8450,8,180,264,25000,2758760
4,Base,2277,10309,9,180,264,25000,3356436
5,Base,2846,12576,10,180,264,25000,4082344
6,Base,3272,14336,11,180,264,25000,4648664
7,Base,3762,16343,12,180,264,25000,5291712
8,Base,4326,18631,13,180,264,25000,6022264
9,Base,4672,19935,13,180,264,25000,6428800
10,Base,5045,21330,13,180,264,25000,6864220
1,Upside,5000,20000,15,228,348,50000,8850000
2,Upside,6750,26000,18,228,348,50000,11487000
3,Upside,9112,33800,22,228,348,50000,14939936
4,Upside,11390,41236,25,228,348,50000,18197048
5,Upside,14237,50307,29,228,348,50000,22202872
6,Upside,16372,57349,32,228,348,50000,25290268
7,Upside,18827,65377,35,228,348,50000,28793752
8,Upside,21651,74529,39,228,348,50000,32822520
9,Upside,23383,79746,40,228,348,50000,35082932
10,Upside,25253,85328,42,228,348,50000,37551828
