"Root","Ext","Files","TotalKB"
"Desktop",".csv","1","1.45"
"Desktop",".json","14","7.77"
"Desktop",".md","123","653.38"
"Desktop",".png","1","6.76"
"Desktop",".ps1","37","43.68"
"Desktop",".txt","70","354.21"
"Downloads",".csv","4","19.61"
"Downloads",".json","192","212.78"
"Downloads",".md","284","326.67"
"Downloads",".pdf","1","222.75"
"Downloads",".png","221","94165.99"
"Downloads",".ps1","301","589.21"
"Downloads",".svg","15","697.2"
"Downloads",".txt","315","256.56"
"Server_Projects",".md","8","0.97"
"Server_Projects",".txt","8","0.64"
